Title,Note,URL,Tags,Comment
Dropped pin,Acceptable when other spots were full,"https://www.google.com/maps/search/38.4349341,-109.5178912",,
Dropped pin,,"https://www.google.com/maps/search/38.4451813,-109.6704824",,
Dropped pin,,"https://www.google.com/maps/search/38.6148198,-109.7001687",,
Dropped pin,,"https://www.google.com/maps/search/38.8041267,-109.2871119",,
Dropped pin,,"https://www.google.com/maps/search/38.5024144,-109.7904194",,
Dropped pin,,"https://www.google.com/maps/search/38.6115257,-110.0398849",,
Dropped pin,,"https://www.google.com/maps/search/38.2295634,-108.6655636",,
Dropped pin,,"https://www.google.com/maps/search/38.0584484,-108.1526119",,
Dropped pin,,"https://www.google.com/maps/search/38.8794155,-107.4607385",,
Dropped pin,,"https://www.google.com/maps/search/38.5026004,-105.0335894",,
Dropped pin,,"https://www.google.com/maps/search/36.3507941,-105.8208848",,
,,"https://www.google.com/maps/search/35.7753325,-106.0997179",,
Dropped pin,,"https://www.google.com/maps/search/35.8762721,-106.6868819",,
San Lorenzo Round Room,,https://www.google.com/maps/place/San+Lorenzo+Round+Room/data=!4m2!3m1!1s0x8721b9305618eb0f:0x24c7dd1b07b77eb5,,
Dropped pin,,"https://www.google.com/maps/search/32.3186399,-106.6231466",,
Dropped pin,,"https://www.google.com/maps/search/32.2544964,-104.3730891",,
Dropped pin,,"https://www.google.com/maps/search/32.7620305,-105.9301882",,
Dropped pin,,"https://www.google.com/maps/search/32.811517,-106.1206783",,
Dropped pin,,"https://www.google.com/maps/search/32.9376086,-105.4876163",,
Dropped pin,,"https://www.google.com/maps/search/31.91131,-105.0816415",,
Elephant Tusk,,https://www.google.com/maps/place/Elephant+Tusk/data=!4m2!3m1!1s0x86f215333ca51ae1:0x278aa5592d2afc14,,
Dropped pin,,"https://www.google.com/maps/search/29.0394895,-103.4127634",,
Grapevine Hills 1 (GH-1),,https://www.google.com/maps/place/Grapevine+Hills+1+(GH-1)/data=!4m2!3m1!1s0x86f219d8444284ed:0x807f34efab4f453b,,
Dropped pin,,"https://www.google.com/maps/search/30.1558828,-103.5833596",,
Dropped pin,,"https://www.google.com/maps/search/31.9694259,-109.3198218",,
Dropped pin,,"https://www.google.com/maps/search/34.2851549,-111.3812717",,
Dropped pin,,"https://www.google.com/maps/search/34.2845145,-111.4217476",,
Dropped pin,,"https://www.google.com/maps/search/34.2026279,-111.3990021",,
Dropped pin,,"https://www.google.com/maps/search/33.930814,-112.2809369",,
Dropped pin,,"https://www.google.com/maps/search/32.2937067,-112.8573165",,
Dropped pin,,"https://www.google.com/maps/search/32.2915502,-112.8552737",,
Dropped pin,,"https://www.google.com/maps/search/32.0861538,-110.620092",,
Dropped pin,,"https://www.google.com/maps/search/32.4312798,-110.7470389",,
Dropped pin,,"https://www.google.com/maps/search/32.2899108,-111.3876661",,
Dropped pin,,"https://www.google.com/maps/search/32.1377858,-111.0845933",,
Dropped pin,,"https://www.google.com/maps/search/32.7414562,-111.4186252",,
Dropped pin,,"https://www.google.com/maps/search/34.2055719,-111.9394616",,
Dropped pin,,"https://www.google.com/maps/search/34.0789154,-111.7129929",,
Dropped pin,,"https://www.google.com/maps/search/34.0761545,-111.7088154",,
Dropped pin,,"https://www.google.com/maps/search/33.8761806,-111.6123068",,
Dropped pin,"Fine, close to Phoenix, can hear the highway a bit and gunshots ","https://www.google.com/maps/search/33.6368383,-111.5619601",,
Dropped pin,,"https://www.google.com/maps/search/33.5805929,-111.4965698",,
Dropped pin,,"https://www.google.com/maps/search/33.5459342,-111.4441045",,
Dropped pin,,"https://www.google.com/maps/search/33.3392017,-111.2339145",,
Dropped pin,,"https://www.google.com/maps/search/34.695296,-111.718922",,
Dropped pin,,"https://www.google.com/maps/search/34.9310028,-111.9722767",,
Dropped pin,,"https://www.google.com/maps/search/35.0497632,-111.7428969",,
Dropped pin,Maybe,"https://www.google.com/maps/search/34.8759712,-111.7013575",,
"34°52'57.5""N 111°54'38.9""W",,"https://www.google.com/maps/search/34.8826389,-111.9108056",,
Dropped pin,,"https://www.google.com/maps/search/37.1744799,-109.842479",,
S Tank Holw Rd,,https://www.google.com/maps/place/S+Tank+Holw+Rd/data=!4m2!3m1!1s0x874dce8b94e6cb65:0xfdf3632de7ad8c,,
NF-3511,,"https://www.google.com/maps/search/45.44515,-121.60832",,
Dropped pin,Lots of bees,"https://www.google.com/maps/search/45.4503119,-121.6228973",,
Dropped pin,,"https://www.google.com/maps/search/45.2629265,-121.5930416",,
Dropped pin,,"https://www.google.com/maps/search/45.6714271,-121.617615",,
Dropped pin,"View of the tip of Adams, Starlink friendly. 2wd friendly ","https://www.google.com/maps/search/46.1477204,-121.6658844",,
Off NF road 99,,"https://www.google.com/maps/search/46.29622,-122.06782",,
"47°03'37.9""N 121°39'44.6""W","4x4 only, amazing view of Rainier","https://www.google.com/maps/search/47.0605336,-121.6623844",,
,,"https://www.google.com/maps/search/48.7444902,-120.2928871",,
,,"https://www.google.com/maps/search/47.6759607,-120.5106576",,
Dropped pin,,"https://www.google.com/maps/search/48.7271869,-120.6777851",,
,,"https://www.google.com/maps/search/48.6229,-120.4355185",,
Dropped pin,Acceptable for an overnight. ,"https://www.google.com/maps/search/48.893044,-122.082306",,
A560,,https://www.google.com/maps/place/A560/data=!4m2!3m1!1s0x54906ab090e1c5a3:0x22bd1ad4775a1dd4,,
,,"https://www.google.com/maps/search/48.1455024,-121.7785593",,
Dropped pin,Potential spot,"https://www.google.com/maps/search/48.1370891,-121.843852",,
